video_id,title,description,upload_date,duration,view_count,thumbnail,watch_url,embed_url
nvxliR-MRuk,Everything is NOT Fine Friendship Fallout Pt. 3,,,51.0,2,https://i.ytimg.com/vi/nvxliR-MRuk/hqdefault.jpg,https://www.youtube.com/watch?v=nvxliR-MRuk,https://www.youtube.com/embed/nvxliR-MRuk
latmIxVBR0k,Walking Away / Making Room For Silence Friendship Fallout Pt. 2,,,79.0,1,https://i.ytimg.com/vi/latmIxVBR0k/hqdefault.jpg,https://www.youtube.com/watch?v=latmIxVBR0k,https://www.youtube.com/embed/latmIxVBR0k
doKIbKmVqyc,Tektite - I Am Alive Rap Diss / Friendship Fallout,,,101.0,60,https://i.ytimg.com/vi/doKIbKmVqyc/hqdefault.jpg,https://www.youtube.com/watch?v=doKIbKmVqyc,https://www.youtube.com/embed/doKIbKmVqyc
2rmZKN6xp8U,Goku Teaches Krillin True Strength Before the Cell Games Dragon Ball Z,,,171.0,15301,https://i.ytimg.com/vi/2rmZKN6xp8U/hqdefault.jpg,https://www.youtube.com/watch?v=2rmZKN6xp8U,https://www.youtube.com/embed/2rmZKN6xp8U
zeYAWjRqBgU,A Scenic Tour of My Minecraft World Corrupted by 13 Years of Updates,,,131.0,1,https://i.ytimg.com/vi/zeYAWjRqBgU/hqdefault.jpg,https://www.youtube.com/watch?v=zeYAWjRqBgU,https://www.youtube.com/embed/zeYAWjRqBgU
x98IwIcVqQY,"The MOST Oldschool RuneScape Video Ever OSRS on CRT TV, Pain Edition",,,129.0,8,https://i.ytimg.com/vi/x98IwIcVqQY/hqdefault.jpg,https://www.youtube.com/watch?v=x98IwIcVqQY,https://www.youtube.com/embed/x98IwIcVqQY
wHYJX32sCzU,Jumping In a Snow Bank Accidental RGB Filter IRL,,,30.0,3,https://i.ytimg.com/vi/wHYJX32sCzU/hqdefault.jpg,https://www.youtube.com/watch?v=wHYJX32sCzU,https://www.youtube.com/embed/wHYJX32sCzU
v5vTDQB9E7Q,What do you see？ How does this video make you feel？ Existential Loop,,,80.0,1,https://i.ytimg.com/vi/v5vTDQB9E7Q/hqdefault.jpg,https://www.youtube.com/watch?v=v5vTDQB9E7Q,https://www.youtube.com/embed/v5vTDQB9E7Q
mT0Myu2bX0Q,Random Minecraft Mario 64 Vid SM64 x Minecraft Crossover of Questionable Legality,,,248.0,25,https://i.ytimg.com/vi/mT0Myu2bX0Q/hqdefault.jpg,https://www.youtube.com/watch?v=mT0Myu2bX0Q,https://www.youtube.com/embed/mT0Myu2bX0Q
m5tIy6nq4m8,Tektite - Introspection (I don't know what I'm doing),,,199.0,4,https://i.ytimg.com/vi/m5tIy6nq4m8/hqdefault.jpg,https://www.youtube.com/watch?v=m5tIy6nq4m8,https://www.youtube.com/embed/m5tIy6nq4m8
l4S-26Vw6lk,Why CRT TVs Are Making a Comeback! Generated by ChatGPT + Invideo AI 🤖📺💀,,,279.0,41,https://i.ytimg.com/vi/l4S-26Vw6lk/hqdefault.jpg,https://www.youtube.com/watch?v=l4S-26Vw6lk,https://www.youtube.com/embed/l4S-26Vw6lk
frMQv2G46_Y,"My ROBLOX Hat Collection 2008 Account, Ancient Relics Edition",,,55.0,6,https://i.ytimg.com/vi/frMQv2G46_Y/hqdefault.jpg,https://www.youtube.com/watch?v=frMQv2G46_Y,https://www.youtube.com/embed/frMQv2G46_Y
ct_pLlzi04k,Song that plays when Kirby is ready for bed Queen x Zelda Ocarina of Time Soundfont,,,69.0,23,https://i.ytimg.com/vi/ct_pLlzi04k/hqdefault.jpg,https://www.youtube.com/watch?v=ct_pLlzi04k,https://www.youtube.com/embed/ct_pLlzi04k
bN6zL5Udo74,Running to Puffin’s Huntsville Muskoka VLOG Fake Cardio,,,130.0,2,https://i.ytimg.com/vi/bN6zL5Udo74/hqdefault.jpg,https://www.youtube.com/watch?v=bN6zL5Udo74,https://www.youtube.com/embed/bN6zL5Udo74
ap8uPfycfVI,"MY FIRST MAX CAPE in OSRS 5 Years, 351M XP, and My Sanity Later",,,250.0,0,https://i.ytimg.com/vi/ap8uPfycfVI/hqdefault.jpg,https://www.youtube.com/watch?v=ap8uPfycfVI,https://www.youtube.com/embed/ap8uPfycfVI
_gr7Y4oS_Dc,Trippy Visual Compressed Beyond Recognition Edition,,,14.0,12,https://i.ytimg.com/vi/_gr7Y4oS_Dc/hqdefault.jpg,https://www.youtube.com/watch?v=_gr7Y4oS_Dc,https://www.youtube.com/embed/_gr7Y4oS_Dc
WqYtwThG268,Tektite - Finally Free Original Rap,,,72.0,8,https://i.ytimg.com/vi/WqYtwThG268/hqdefault.jpg,https://www.youtube.com/watch?v=WqYtwThG268,https://www.youtube.com/embed/WqYtwThG268
WlK0OERxtGk,Tektite - Recursion Sickness AI Feedback Loop Freestyle,,,74.0,10,https://i.ytimg.com/vi/WlK0OERxtGk/hqdefault.jpg,https://www.youtube.com/watch?v=WlK0OERxtGk,https://www.youtube.com/embed/WlK0OERxtGk
ViDcNpR7sKI,Beating Jad Round 2 Slightly Less Scuffed OSRS Fight Caves,,,192.0,0,https://i.ytimg.com/vi/ViDcNpR7sKI/hqdefault.jpg,https://www.youtube.com/watch?v=ViDcNpR7sKI,https://www.youtube.com/embed/ViDcNpR7sKI
QtIwrHgI-Eo,Leaving the Grand Exchange OSRS Walking Simulator 2007 Edition,,,116.0,0,https://i.ytimg.com/vi/QtIwrHgI-Eo/hqdefault.jpg,https://www.youtube.com/watch?v=QtIwrHgI-Eo,https://www.youtube.com/embed/QtIwrHgI-Eo
QfCyYx0RMiw,Gargoyles Bossin’ Music Video OSRS ft. Hells Bells 🔔💀,,,242.0,1,https://i.ytimg.com/vi/QfCyYx0RMiw/hqdefault.jpg,https://www.youtube.com/watch?v=QfCyYx0RMiw,https://www.youtube.com/embed/QfCyYx0RMiw
QRufG-cpyHc,"“The ice is melting, in my heart.” 7 Seconds of Accidental Poetry",,,8.0,1,https://i.ytimg.com/vi/QRufG-cpyHc/hqdefault.jpg,https://www.youtube.com/watch?v=QRufG-cpyHc,https://www.youtube.com/embed/QRufG-cpyHc
